word,length,freq,log_freq,concreteness,pos
employee,8,"11,023",9.308,4.1,NN
rocket,6,"11,027",9.308,4.73,NN|VB
shock,5,"11,041",9.309,4,NN|VB
prince,6,"11,047",9.31,4.44,NN
ocean,5,"11,050",9.31,4.86,NN
trail,5,"11,055",9.311,4.46,NN|VB
lunch,5,"11,094",9.314,4.31,NN|VB
penis,5,"11,136",9.318,5,NN
cop,3,"11,145",9.319,4.3,NN
cloth,5,"11,191",9.323,4.9,NN
tied,4,"11,216",9.325,3.92,VB
garden,6,"11,220",9.325,4.73,NN|VB
silicon,7,"11,228",9.326,4.68,NN|JJ
fork,4,"11,253",9.328,4.9,NN
flesh,5,"11,266",9.33,4.59,NN
tail,4,"11,267",9.33,4.96,NN|VB
steal,5,"11,268",9.33,3.84,VB|NN
highway,7,"11,286",9.331,4.72,NN
chess,5,"11,301",9.333,4.7,NN
chairman,8,"11,306",9.333,4.31,NN
ear,3,"11,312",9.334,5,NN
pour,4,"11,348",9.337,4.14,VB
cod,3,"11,375",9.339,4.61,NN
sizes,5,"11,391",9.341,3.62,NN|VB
tap,3,"11,395",9.341,4.29,NN|VB
troll,5,"11,416",9.343,4.28,NN|VB
floating,8,"11,425",9.344,3.89,VB|NN
thick,5,"11,429",9.344,4,JJ|NN|RB
shoulder,8,"11,440",9.345,4.93,NN|VB
leather,7,"11,445",9.345,4.82,NN
mud,3,"11,445",9.345,4.86,NN
chicken,7,"11,478",9.348,4.8,NN|VB
batman,6,"11,544",9.354,4.5,NN
dozen,5,"11,561",9.355,4.66,NN
stream,6,"11,580",9.357,4.5,NN|VB
buttons,7,"11,597",9.359,4.8,NN|VB
hook,4,"11,610",9.36,4.79,NN|VB
castle,6,"11,629",9.361,4.96,NN
victim,6,"11,638",9.362,3.59,NN
rack,4,"11,655",9.363,4.48,NN|VB
quarter,7,"11,705",9.368,4.43,NN|VB
gift,4,"11,722",9.369,4.56,NN
formula,7,"11,727",9.37,4.11,NN
hat,3,"11,748",9.371,4.88,NN
ton,3,"11,753",9.372,4.17,NN
aliens,6,"11,773",9.374,3.86,NN
troops,6,"11,801",9.376,4.21,NN|VB
dad,3,"11,823",9.378,4.29,NN
tin,3,"11,849",9.38,4.87,NN|JJ
airport,7,"11,859",9.381,4.87,NN
drag,4,"11,908",9.385,4.17,VB|NN
loud,4,"11,931",9.387,3.73,JJ|NN
slot,4,"11,956",9.389,4.45,NN|VB
folk,4,"11,992",9.392,3.57,NN
chat,4,"11,998",9.392,3.66,NN|VB
concert,7,"12,029",9.395,4.35,NN
duke,4,"12,035",9.396,4,NN
academy,7,"12,050",9.397,4.29,NN
height,6,"12,052",9.397,3.86,NN
brass,5,"12,055",9.397,4.7,NN
pointing,8,"12,081",9.399,4.07,VB|NN
lawyer,6,"12,105",9.401,4.7,NN
hockey,6,"12,193",9.409,4.31,NN
pipe,4,"12,205",9.41,4.88,NN|VB
mailed,6,"12,226",9.411,3.69,VB
novel,5,"12,250",9.413,4.21,NN
breaking,8,"12,257",9.414,3.93,VB|NN
goods,5,"12,257",9.414,4.26,NN
tune,4,"12,260",9.414,3.5,NN|VB
smile,5,"12,276",9.415,4.5,NN|VB
jet,3,"12,298",9.417,4.77,NN
pal,3,"12,345",9.421,3.93,NN
ski,3,"12,347",9.421,4.63,NN|VB
mask,4,"12,361",9.422,4.96,NN|VB
wizard,6,"12,369",9.423,4.43,NN
junk,4,"12,375",9.423,3.88,NN|VB
dress,5,"12,384",9.424,4.93,NN|VB
sphere,6,"12,407",9.426,4.44,NN|RB
vendor,6,"12,408",9.426,4.5,NN
burn,4,"12,496",9.433,4.11,VB|NN
wedding,7,"12,528",9.436,3.92,NN|VB
chuck,5,"12,545",9.437,3.82,VB|NN
singing,7,"12,561",9.438,4.2,VB|NN
garbage,7,"12,598",9.441,4.69,NN
dancing,7,"12,609",9.442,4.3,NN|VB
darkness,8,"12,621",9.443,3.85,NN
baker,5,"12,645",9.445,4.71,NN
rape,4,"12,684",9.448,3.61,NN|VB
grey,4,"12,685",9.448,4.11,JJ|NN|VB
stereo,6,"12,719",9.451,4.63,NN
hay,3,"12,769",9.455,4.87,NN
armed,5,"12,786",9.456,3.6,VB|JJ
robin,5,"12,801",9.457,4.61,NN
hunter,6,"12,844",9.461,4.41,NN
sharp,5,"12,847",9.461,3.86,JJ|NN
kiss,4,"12,848",9.461,4.48,NN|VB
rolling,7,"12,848",9.461,4.04,VB|NN
strings,7,"12,854",9.461,4.75,NN|VB
hind,4,"12,917",9.466,3.96,JJ|NN
spelling,8,"12,926",9.467,3.63,NN|VB
bond,4,"12,955",9.469,3.62,NN|VB
dial,4,"12,970",9.47,4.52,NN|VB
crowd,5,"12,988",9.472,4.52,NN|VB
chest,5,"13,012",9.474,4.93,NN
launch,6,"13,019",9.474,3.7,NN|VB
dinner,6,"13,031",9.475,4.5,NN
pink,4,"13,066",9.478,3.93,JJ|NN
wine,4,"13,077",9.479,4.79,NN
slave,5,"13,149",9.484,4.38,NN|VB
pot,3,"13,161",9.485,4.81,NN
mess,4,"13,190",9.487,3.9,NN|VB
armor,5,"13,211",9.489,4.76,NN
village,7,"13,243",9.491,4.89,NN
prison,6,"13,247",9.492,4.68,NN
cry,3,"13,252",9.492,4,NN|VB
doc,3,"13,265",9.493,3.68,NN
vampire,7,"13,320",9.497,4.18,NN
falling,7,"13,324",9.497,3.64,VB|NN
fighter,7,"13,334",9.498,3.96,NN
naked,5,"13,367",9.501,4.5,JJ
temple,6,"13,396",9.503,4.53,NN
crystal,7,"13,437",9.506,4.58,NN
laugh,5,"13,449",9.507,4.21,NN|VB
orange,6,"13,483",9.509,4.66,JJ|NN
lung,4,"13,500",9.51,4.82,NN
smooth,6,"13,504",9.511,3.81,JJ|NN|VB
branch,6,"13,544",9.514,4.9,NN|VB
cook,4,"13,551",9.514,4.32,NN|VB
blind,5,"13,559",9.515,4.03,JJ|NN|VB
acid,4,"13,610",9.519,4.25,NN|JJ
desk,4,"13,624",9.52,4.87,NN
vehicle,7,"13,714",9.526,4.64,NN
bright,6,"13,726",9.527,3.92,JJ|NN
jazz,4,"13,759",9.529,3.9,NN
hunting,7,"13,796",9.532,3.96,NN|VB
turkey,6,"13,802",9.533,4.89,NN
cutting,7,"13,819",9.534,4.11,VB|NN
cap,3,"13,881",9.538,4.59,NN|VB
campus,6,"13,903",9.54,4.64,NN
nights,6,"13,905",9.54,4.41,NN
photo,5,"13,910",9.54,4.93,NN
nose,4,"13,919",9.541,4.89,NN|VB
fox,3,"13,959",9.544,4.97,NN|VB
swap,4,"13,962",9.544,3.85,NN|VB
motor,5,"13,981",9.545,4.84,NN|JJ|VB
row,3,"14,013",9.548,3.93,NN|VB
shield,6,"14,024",9.549,4.66,NN|VB
operator,8,"14,061",9.551,4.21,NN
sessions,8,"14,075",9.552,3.66,NN
dirty,5,"14,094",9.554,4.23,JJ|VB|NN
ticket,6,"14,121",9.555,4.7,NN|VB
bulletin,8,"14,131",9.556,4.72,NN
lane,4,"14,139",9.557,4.66,NN
facility,8,"14,204",9.561,3.58,NN
alcohol,7,"14,209",9.562,4.76,NN
kingdom,7,"14,254",9.565,3.76,NN
